1,Adani Ports and Special Economic Zone Ltd.,Port
2,Asian Paints Ltd.,Paints
3,Axis Bank Ltd.,Bank - Private
4,Bharti Airtel Ltd.,Telecommunication - Service Provider
5,Cipla Ltd.,Pharmaceuticals & Drugs
6,Coal India Ltd.,Mining & Minerals
7,GAIL (India) Ltd. ,Industrial Gases & Fuels
8,HDFC Bank Ltd.,Bank - Private
9,Hero MotoCorp Ltd.,Automobile Two & Three Wheelers
10,Hindustan Unilever Ltd.,Household & Personal Products
11,Housing Development Finance Corporation Ltd.,Finance - Housing
12,ICICI Bank Ltd.,Bank - Private
13,Infosys Ltd.,IT - Software
14,ITC Ltd.,Cigarettes/Tobacco
15,Larsen & Toubro Ltd.,Engineering - Construction
16,Lupin Ltd.,Pharmaceuticals & Drugs
17,Mahindra & Mahindra Ltd.,Automobile - Passenger Cars
18,Maruti Suzuki India Ltd.,Automobile - Passenger Cars
19,NTPC Ltd.,Power Generation/Distribution
20,Oil & Natural Gas Corporation Ltd.,Oil Exploration
21,Power Grid Corporation Of India Ltd. ,Power Generation/Distribution
22,Reliance Industries Ltd.,Refineries
23,State Bank of India,Bank - Public
24,Sun Pharmaceuticals Industries Ltd.,Pharmaceuticals & Drugs
25,Tata Consultancy Services Ltd.,IT - Software
26,Tata Motors Ltd.,Automobile - Trucks/Lcv
27,Tata Steel Ltd. ,Steel & Iron Products
28,Wipro Ltd.,IT - Software

29,Sensex,
